,av_penetration,overflow_perc_decr,overflow_perc_incr,overflow_sum_perc_decr,overflow_sum_perc_incr,flow_increase_ratio
0,0.0,0.6026785714285714,0.6026785714285714,0.17135320235549958,0.17286427904159365,1.0
1,0.1,0.5848214285714286,0.5848214285714286,0.16053436566311716,0.16205363919220975,1.019856264355042
2,0.2,0.5625,0.5625,0.14985789677620998,0.15142620283261565,1.0402311624805511
3,0.3,0.5491071428571429,0.5491071428571429,0.13913992466363256,0.14077366381800893,1.0612728754538046
4,0.4,0.5,0.5,0.1288591283303229,0.13056305259929418,1.0829073127361637
5,0.5,0.4732142857142857,0.4732142857142857,0.1190483948616018,0.1208285224808189,1.105356745943543
6,0.6,0.45535714285714285,0.45535714285714285,0.10932547351998646,0.11118669723339096,1.128695265614581
7,0.7,0.4375,0.4375,0.09962835041128652,0.10157607675249009,1.153071052826554
8,0.8,0.4107142857142857,0.4107142857142857,0.08985082874686556,0.09185472434818476,1.178780469734015
9,0.9,0.36607142857142855,0.36607142857142855,0.08028617163788078,0.08232309389293423,1.2064162406460694
10,1.0,0.3392857142857143,0.3392857142857143,0.07070717523127548,0.07275711640611203,1.2380529006445877
