,lanes,lane_perc_incr,lane_perc_decr,overflow_perc_decr,overflow_perc_incr,overflow_sum_decr,overflow_sum_incr,overflow_perc_decr_5,overflow_perc_incr_5,overflow_sum_decr_5,overflow_sum_incr_5,overflow_perc_decr_405,overflow_perc_incr_405,overflow_sum_decr_405,overflow_sum_incr_405,overflow_perc_decr_90,overflow_perc_incr_90,overflow_sum_decr_90,overflow_sum_incr_90,overflow_perc_decr_520,overflow_perc_incr_520,overflow_sum_decr_520,overflow_sum_incr_520,lane_perc_decr_5,lane_perc_incr_5,lane_perc_decr_405,lane_perc_incr_405,lane_perc_decr_90,lane_perc_incr_90,lane_perc_decr_520,lane_perc_incr_520
0,0,0.0,0.0,0.6026785714285714,0.6026785714285714,0.17135320235549958,0.17286427904159365,0.6444444444444445,0.6444444444444445,0.157042528749245,0.1596611556040334,0.7659574468085106,0.7659574468085106,0.2750937634344842,0.2756296826173713,0.3333333333333333,0.3333333333333333,0.062489985579234096,0.062360089542692676,0.2,0.2,0.052083333333333336,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.31755716947359997,0.31755727560586944,0.5267857142857143,0.5267857142857143,0.13271305312156395,0.13400812418902985,0.5481481481481482,0.5481481481481482,0.12053665639906763,0.12302083284073335,0.723404255319149,0.723404255319149,0.22532102748763805,0.22506653441110802,0.25925925925925924,0.25925925925925924,0.03098269020169665,0.030918287423854936,0.2,0.2,0.02503186735099385,0.02503186735099385,0.31755727560586944,0.31755716947359997,0.31755727560586944,0.31755716947359997,0.31755727560586944,0.31755716947359997,0.31755727560586944,0.31755716947359997
2,2,0.6351143389471999,0.6351145512117389,0.4419642857142857,0.4375,0.10053048177878302,0.10170510085982401,0.4666666666666667,0.45925925925925926,0.08968998807400907,0.09214991257638369,0.6808510638297872,0.6808510638297872,0.17971219804465882,0.17873341731860323,0.1111111111111111,0.1111111111111111,0.01677107188162915,0.016736210363486975,0.06666666666666667,0.06666666666666667,0.009427810557228224,0.009427810557228224,0.6351145512117389,0.6351143389471999,0.6351145512117389,0.6351143389471999,0.6351145512117389,0.6351143389471999,0.6351145512117389,0.6351143389471999
3,3,0.9960797392966932,0.8927399955742843,0.4017857142857143,0.39732142857142855,0.07726381759373388,0.07793949703093356,0.4148148148148148,0.4074074074074074,0.06406555684099266,0.06589330104134658,0.6595744680851063,0.6595744680851063,0.1554253574815222,0.1540608913765452,0.07407407407407407,0.07407407407407407,0.006356074285090134,0.0063428621063715265,0.06666666666666667,0.06666666666666667,0.009427810557228224,0.009427810557228224,0.8927399955742843,0.9960797392966932,0.8927399955742843,0.9960797392966932,0.8927399955742843,0.9960797392966932,0.8927399955742843,0.9960797392966932
4,4,0.9960797392966932,0.9866903766156647,0.3392857142857143,0.3392857142857143,0.07066734042186658,0.07271703263304413,0.31851851851851853,0.31851851851851853,0.05545795669747124,0.0584502436473937,0.6382978723404256,0.6382978723404256,0.15164845012213524,0.1530920043733978,0.07407407407407407,0.07407407407407407,0.006356074285090134,0.0063428621063715265,0.06666666666666667,0.06666666666666667,0.009427810557228224,0.009427810557228224,0.9866903766156647,0.9960797392966932,0.9866903766156647,0.9960797392966932,0.9866903766156647,0.9960797392966932,0.9866903766156647,0.9960797392966932
